Location,Company,Email,Person,Title,Source
Bihar Sharif,Givni Pvt. Ltd.,givniinfo@gmail.com,HR Team,IT Consulting & Software Development,Official Website / Direct Scraping
Bihar Sharif,TechOracle Digital Solutions,info@techoracle.in,HR Team,Digital Solutions & IT Services,Official Website / Direct Scraping
Bihar Sharif,HZ IT Company,hzitcompany@gmail.com,Support/HR Team,Web & IT Solutions,Official Website / Direct Scraping
Bihar Sharif,Bihar Sharif Smart City Limited,biharsharifsmartcitylimited@gmail.com,Admin Team,Smart City Tech Administration,Official Portal
Bihar Sharif,Bihar Sharif Municipal Corporation,biharsharifnagarnigam@gmail.com,Municipal Admin,Civic & Admin Services,Official Portal
Bihar Sharif,"Nalanda College, Bihar Sharif",nalandacollegebiharsharif@gmail.com,Principal Office,Higher Education & Research,Official Portal
Bihar Sharif,"Nalanda College of Engineering (NCE), Chandi",nceprincipalchandi@gmail.com,Principal Office,Engineering & Tech Education,Official Portal
Bihar Sharif,"Vardhman Institute of Medical Sciences (BMIMS), Pawapuri",principal.vims.pawapuri@gmail.com,Principal Office,Medical Sciences & Healthcare,Official Portal
Bihar Sharif,Government Polytechnic Asthawan Nalanda,gp.nalanda@gmail.com,Academic Admin,Technical Education & Engineering,Official Portal
Bihar Sharif,K.K. University Nalanda,info@kkuniversity.ac.in,Registrar Office,Higher Education & Tech Programs,Official Portal
Bihar Sharif,"Kisan College, Bihar Sharif",kisancollege1957@gmail.com,Admin Team,Higher Education Institution,Official Portal
Bihar Sharif,"Soghra College, Bihar Sharif",collegesoghra@gmail.com,Admin Team,Higher Education Institution,Official Portal
Bihar Sharif,"S.P.M. College (Sardar Patel Memorial College), Udantpuri",spmc.udantpuri@gmail.com,Admin Office,Higher Education Institution,Official Portal
Bihar Sharif,J.P. Institute of Technology,jpitbiharsharif@gmail.com,Placement Cell / HR,Technology & Engineering Institute,Official Portal
Bihar Sharif,St. Joseph Academy Bihar Sharif,stjosephacademybiharsharif@gmail.com,Admin Office,Educational Academy,Official Portal
Bihar Sharif,Nalanda Open University,nou@nou.ac.in,Registrar Office,Higher Education University,Official Portal
Bihar Sharif,Daffodil Public School Bihar Sharif,daffodilpublicschoolbsf@gmail.com,Principal Office,School Education,Official Portal
