Company,Email,Person,Title,Notes
Givni Pvt. Ltd.,givniinfo@gmail.com,HR Team,IT Consulting & Software Development,Bihar Sharif-based IT consultancy and software services
TechOracle Digital Solutions,info@techoracle.in,HR Team,Digital Solutions & IT Services,Bihar Sharif-based digital agency & IT solutions
HZ IT Company,hzitcompany@gmail.com,Support/HR Team,Web & IT Solutions,Bihar Sharif web dev & IT services
Bihar Sharif Smart City Limited,biharsharifsmartcitylimited@gmail.com,Admin Team,Smart City Tech Administration,Smart city administration & IT infrastructure projects
Bihar Sharif Municipal Corporation,biharsharifnagarnigam@gmail.com,Municipal Admin,Civic & Admin Services,Municipal corporation admin office
"Nalanda College, Bihar Sharif",nalandacollegebiharsharif@gmail.com,Principal Office,Higher Education & Research,Premier degree college in Bihar Sharif
"Nalanda College of Engineering (NCE), Chandi",nceprincipalchandi@gmail.com,Principal Office,Engineering & Tech Education,Government engineering college in Nalanda district
"Vardhman Institute of Medical Sciences (BMIMS), Pawapuri",principal.vims.pawapuri@gmail.com,Principal Office,Medical Sciences & Healthcare,Government medical college & research institute
Government Polytechnic Asthawan Nalanda,gp.nalanda@gmail.com,Academic Admin,Technical Education & Engineering,Government polytechnic institute in Asthawan Nalanda
K.K. University Nalanda,info@kkuniversity.ac.in,Registrar Office,Higher Education & Tech Programs,Private university offering engineering and tech programs
"Kisan College, Bihar Sharif",kisancollege1957@gmail.com,Admin Team,Higher Education Institution,Degree college in Bihar Sharif
"Soghra College, Bihar Sharif",collegesoghra@gmail.com,Admin Team,Higher Education Institution,Collegiate education institution in Bihar Sharif
"S.P.M. College (Sardar Patel Memorial College), Udantpuri",spmc.udantpuri@gmail.com,Admin Office,Higher Education Institution,Degree college in Udantpuri Bihar Sharif
J.P. Institute of Technology,jpitbiharsharif@gmail.com,Placement Cell / HR,Technology & Engineering Institute,Technical institute in Bihar Sharif
St. Joseph Academy Bihar Sharif,stjosephacademybiharsharif@gmail.com,Admin Office,Educational Academy,School academy in Bihar Sharif
Nalanda Open University,nou@nou.ac.in,Registrar Office,Higher Education University,State open university campus in Nalanda
Daffodil Public School Bihar Sharif,daffodilpublicschoolbsf@gmail.com,Principal Office,School Education,Public school in Bihar Sharif
